Film_ID,Title,Release_Date,Catalog_Date,Rating,Ownership
"1391","In the Loop","2009/01/22","2024/05/19","6","n"
"701","Mean Girls","2004/04/19","2021/01/19","9","n"
"4296","Chicken Run","2000/06/17","2023/12/31","7","n"
"866","Night on Earth","1991/10/04","2023/12/31","7","n"
"842","Taking of Pelham One Two Three","1974/10/02","2023/12/31","7","n"
"4105","Rounders","1998/09/04","2024/09/01","7","n"
"2924","Peeping Tom","1960/04/07","2025/04/20","7","n"
"218387","Shiva Baby","2020/03/15","2022/02/20","6","n"
"174728","Phantom Thread","2017/12/11","2022/02/20","7","n"
"313","Truman Show","1998/06/01","2021/01/20","8","n"
"44","Vertigo","1958/05/09","2021/07/26","8","n"
"207","Kill Bill: Vol. 2","2004/04/08","2021/01/20","7","n"
"68","There Will Be Blood","2007/09/27","2021/09/02","7","n"
"379","Сталкер","1979/05/25","2024/11/10","6","n"
"132879","Hateful Eight","2015/12/07","2024/11/10","7","n"
"120","Office Space","1999/02/19","2020/12/27","10","n"
"202226","Soul","2020/12/25","2020/12/27","8","n"
"627","It's a Wonderful Life","1946/12/20","2020/10/21","10","n"
"1389","Birds","1963/03/28","2022/01/08","7","n"
"1055","Rope","1948/08/26","2022/01/08","8","n"
"2305","Strangers on a Train","1951/06/27","2022/01/09","8","n"
"383","Silence of the Lambs","1991/01/30","2023/07/10","8","n"
"2272","Seconds","1966/05/16","2025/02/03","8","n"
"8227","Producers","1967/11/22","2021/01/23","8","n"
"191529","Joker","2019/08/31","2021/01/23","7","n"
"943","Shadow of a Doubt","1943/01/12","2022/04/11","7","n"
"309","Notorious","1946/08/15","2022/07/18","8","n"
"335","Chinatown","1974/06/20","2021/09/04","8","n"
"351","12 Angry Men","1957/04/10","2021/09/04","9","n"
"983","Rebecca","1940/03/21","2023/07/02","7","n"
"48168","Other Guys","2010/08/02","2024/04/07","8","n"
"4179","Close Encounters of the Third Kind","1977/11/15","2024/12/09","5","n"
"834","Paths of Glory","1957/10/25","2023/06/19","8","n"
"3","Taxi Driver","1976/02/08","2025/04/27","10","n"
"1016","40-Year-Old Virgin","2005/08/11","2024/09/11","8","n"
"119895","Crash","2004/01/01","2025/04/27","7","o"
"231","Sunset Blvd.","1950/08/10","2022/01/11","9","n"
"2676","Man Who Knew Too Much","1956/04/29","2022/05/30","7","n"
"142821","Heaven Knows What","2014/08/29","2023/06/19","6","n"
"680","Twin Peaks: Fire Walk With Me","1992/05/16","2021/11/05","7","n"
"157","Rosemary's Baby","1968/06/12","2022/08/29","9","n"
"57","Royal Tenenbaums","2001/10/05","2023/07/03","6","n"
"259","Back to the Future","1985/07/03","2021/01/24","7","n"
"2155","Incredibles","2004/10/27","2020/10/21","9","n"
"696","Departed","2006/09/26","2020/10/22","9","n"
"6676","Mulan","1998/06/05","2020/10/21","9","n"
"193497","Knives Out","2019/09/07","2020/10/21","8","n"
"723","Toy Story","1995/11/19","2020/10/21","8","n"
"171168","Good Time","2017/05/25","2020/10/21","8","n"
"3929","Wall Street","1987/12/11","2020/10/21","8","n"
"1616","Finding Nemo","2003/05/18","2020/10/21","8","n"
"93","Ratatouille","2007/06/22","2020/10/21","8","n"
"377","Die Hard","1988/07/15","2020/10/21","8","n"
"1465","Burn After Reading","2008/08/27","2020/10/21","7","n"
"283","Scarface","1983/12/01","2020/10/21","9","n"
"192002","Ballad of Buster Scruggs","2018/08/31","2020/10/21","7","n"
